ID,Word,Color,Shape,Texture
1,Apple,1;3;4;9;11,1,2;6;15
2,House,1;9;10;11;19,2;5;12,1;6;14
3,Car,1;2;8;9;18,5;18,2;6;15
4,Tree,3;11,1;14,1
5,Dog,8;9;11;17,18,5;7
6,Cat,5;8;9;10,18,4;5;7
7,Book,1;2;8,5;12;17,2;6
8,Computer,8;10;18,5;12,2;6;15
9,Phone,8;18;9,5;17,2;6;15
10,Chair,8;9;10;11,5,5;6
11,Table,8;9;11;19,1;2;5;17,2;6
12,Spoon,18,4;18,2;6
13,Fork,18,17;18,2;6
14,Knife,8;18,17;18,2;6;17
15,Plate,2;9;19,1;17,2;6;15
16,Cup,1;2;9,1;14,2;6
17,Bottle,3;9;11;15,14,2;15
18,Pen,2;8;15,14,2;6
19,Pencil,4;5,8;14,2;6
20,Paper,9,5;17,2;13;20
21,Bag,8;11,2;5,1;5;13
22,Shoe,8;9;11,18,1;5;6
23,Shirt,1;2;9,17,4;5;13
24,Pants,2;8;11,14,1;5;13
25,Hat,1;8,1;15,5;13
26,Door,9;11,5,2;6
27,Window,9;15,2;5,2;6;15
28,Wall,9;19,5;17,1;2
29,Floor,10;11,17,1;2;6
30,Ceiling,9,17,1;2
31,Light,4;9,1;11,6;15
32,Fan,8;9,1,2;6
33,Heater,9,5,6
34,Cooler,1;2,5,6
35,Radio,8,5,2;6
36,TV,8,5;17,2;15
37,Remote,8,5,2;6
38,Key,17;18,17;19,2;6
39,Lock,8;17;18,1;2,2;6
40,Wallet,8;11,5;17,2;5
41,Money,3;18,5;17,2;20
42,Card,9;17,5;17,2;13;15
43,Train,1;18,5;14,2;6
44,Bus,1;4;9,5,2;6
45,Bike,1;2;8,1;3,2;6
46,Plane,9;18,14,2;6;15
47,Boat,2;9,18,2;6
48,Road,8;10,17,1;12
49,Bridge,1;10,17;18,1;6
50,City,10,2;5,1;6